Source_ID,Source_Name,Target_ID,Target_Name,Layers
1000,DG Granule ,1041,DG Hilar Ectopic Granule ,DG:H
1000,DG Granule ,1002,DG Mossy ,DG:H
1000,DG Granule ,1043,DG Mossy MOLDEN ,DG:H
1000,DG Granule ,1027,DG AIPRIM ,DG:H
1000,DG Granule ,1010,DG Axo-Axonic ,DG:H
1000,DG Granule ,1035,DG Basket ,DG:SG
1000,DG Granule ,1036,DG Basket CCK+ ,DG:SG
1000,DG Granule ,1009,DG HICAP ,DG:SMo; DG:smi
1000,DG Granule ,1013,DG HIPP ,DG:H
1000,DG Granule ,1026,DG HIPROM ,DG:H
1000,DG Granule ,1005,DG MOLAX ,DG:H
1000,DG Granule ,1006,DG Outer Molecular Layer ,DG:H
1000,DG Granule ,1004,DG Total Molecular Layer ,DG:H
1000,DG Granule ,2000,CA3 Pyramidal ,CA3:SL; CA3:SP
1000,DG Granule ,2004,CA3c Pyramidal ,CA3:SL; CA3:SP
1000,DG Granule ,2017,CA3 Lucidum LAX ,CA3:SL
1000,DG Granule ,2019,CA3 Spiny Lucidum Dentate-Projecting ,CA3:SL
1000,DG Granule ,2035,CA3 Mossy Fiber-Associated ORDEN ,CA3:SL; CA3:SP
1000,DG Granule ,2043,CA3 Basket ,CA3:SL; CA3:SP
1000,DG Granule ,2044,CA3 Basket CCK+ ,CA3:SL; CA3:SP
1000,DG Granule ,2046,CA3 Ivy ,CA3:SL; CA3:SP
1000,DG Granule ,2036,CA3 Mossy Fiber-Associated ,CA3:SR; CA3:SP
1000,DG Granule ,2005,CA3 LMR-Targeting ,CA3:SL
1000,DG Granule ,2013,CA3 Lucidum ORAX ,CA3:SL
1000,DG Granule ,2014,CA3 Lucidum-Radiatum ,CA3:SL
1000,DG Granule ,2028,CA3 Axo-Axonic ,CA3:SL; CA3:SP
1000,DG Granule ,2042,CA3 Interneuron Specific Quad ,DG:H; CA3:SL; CA3:SP
1000,DG Granule ,2045,CA3 Bistratified ,CA3:SL; CA3:SP
1000,DG Granule ,2049,CA3 QuadD-LM ,CA3:SL; CA3:SP
1000,DG Granule ,3000,CA2 Pyramidal ,CA2:SR; CA2:SO
1000,DG Granule ,3003,CA2 Bistratified ,CA2:SP
1000,DG Granule ,3006,CA2 Basket ,CA2:SP
1000,DG Granule ,3007,CA2 Wide-Arbor Basket ,CA3:SP
1000,DG Granule ,3008,CA2 SP-SR ,CA2:SP
1041,DG Hilar Ectopic Granule ,1041,DG Hilar Ectopic Granule ,DG:H
1041,DG Hilar Ectopic Granule ,1002,DG Mossy ,DG:H
1041,DG Hilar Ectopic Granule ,1043,DG Mossy MOLDEN ,DG:H
1041,DG Hilar Ectopic Granule ,1027,DG AIPRIM ,DG:H
1041,DG Hilar Ectopic Granule ,1010,DG Axo-Axonic ,DG:H
1041,DG Hilar Ectopic Granule ,1035,DG Basket ,DG:H
1041,DG Hilar Ectopic Granule ,1036,DG Basket CCK+ ,DG:H
1041,DG Hilar Ectopic Granule ,1009,DG HICAP ,DG:H
1041,DG Hilar Ectopic Granule ,1013,DG HIPP ,DG:H
1041,DG Hilar Ectopic Granule ,1026,DG HIPROM ,DG:H
1041,DG Hilar Ectopic Granule ,1005,DG MOLAX ,DG:H
1041,DG Hilar Ectopic Granule ,1006,DG Outer Molecular Layer ,DG:H
1041,DG Hilar Ectopic Granule ,1004,DG Total Molecular Layer ,DG:H
1041,DG Hilar Ectopic Granule ,2000,CA3 Pyramidal ,CA3:SL
1041,DG Hilar Ectopic Granule ,2004,CA3c Pyramidal ,CA3:SL
1041,DG Hilar Ectopic Granule ,2005,CA3 LMR-Targeting ,CA3:SL
1041,DG Hilar Ectopic Granule ,2013,CA3 Lucidum ORAX ,CA3:SL
1041,DG Hilar Ectopic Granule ,2014,CA3 Lucidum-Radiatum ,CA3:SL
1041,DG Hilar Ectopic Granule ,2017,CA3 Lucidum LAX ,CA3:SL
1041,DG Hilar Ectopic Granule ,2019,CA3 Spiny Lucidum Dentate-Projecting ,CA3:SL
1041,DG Hilar Ectopic Granule ,2028,CA3 Axo-Axonic ,CA3:SL
1041,DG Hilar Ectopic Granule ,2035,CA3 Mossy Fiber-Associated ORDEN ,CA3:SL
1041,DG Hilar Ectopic Granule ,2036,CA3 Mossy Fiber-Associated ,CA3:SL
1041,DG Hilar Ectopic Granule ,2042,CA3 Interneuron Specific Quad ,DG:H; CA3:SL
1041,DG Hilar Ectopic Granule ,2043,CA3 Basket ,CA3:SL
1041,DG Hilar Ectopic Granule ,2044,CA3 Basket CCK+ ,CA3:SL
1041,DG Hilar Ectopic Granule ,2045,CA3 Bistratified ,CA3:SL
1041,DG Hilar Ectopic Granule ,2046,CA3 Ivy ,CA3:SL
1041,DG Hilar Ectopic Granule ,2049,CA3 QuadD-LM ,CA3:SL
1001,DG Semilunar Granule ,1000,DG Granule ,DG:SMi
1001,DG Semilunar Granule ,1041,DG Hilar Ectopic Granule ,DG:SMi; DG:H
1001,DG Semilunar Granule ,1001,DG Semilunar Granule ,DG:SMi
1001,DG Semilunar Granule ,1002,DG Mossy ,DG:H
1001,DG Semilunar Granule ,1043,DG Mossy MOLDEN ,DG:SMi; DG:SG; DG:H
1001,DG Semilunar Granule ,1027,DG AIPRIM ,DG:SMi; DG:SG; DG:H
1001,DG Semilunar Granule ,1010,DG Axo-Axonic ,DG:SMi; DG:SG; DG:H
1001,DG Semilunar Granule ,1035,DG Basket ,DG:SMi; DG:SG; DG:H
1001,DG Semilunar Granule ,1036,DG Basket CCK+ ,DG:SMi; DG:SG; DG:H
1001,DG Semilunar Granule ,1009,DG HICAP ,DG:SMi; DG:SG; DG:H
1001,DG Semilunar Granule ,1013,DG HIPP ,DG:H
1001,DG Semilunar Granule ,1026,DG HIPROM ,DG:SMi; DG:SG; DG:H
1001,DG Semilunar Granule ,1040,DG MOCAP ,DG:SMi; DG:SG
1001,DG Semilunar Granule ,1005,DG MOLAX ,DG:SMi; DG:H
1001,DG Semilunar Granule ,1006,DG Outer Molecular Layer ,DG:SMi; DG:SG; DG:H
1001,DG Semilunar Granule ,1004,DG Total Molecular Layer ,DG:SMi; DG:H
1001,DG Semilunar Granule ,2000,CA3 Pyramidal ,CA3:SL
1001,DG Semilunar Granule ,2004,CA3c Pyramidal ,CA3:SL
1001,DG Semilunar Granule ,2005,CA3 LMR-Targeting ,CA3:SL
1001,DG Semilunar Granule ,2013,CA3 Lucidum ORAX ,CA3:SL
1001,DG Semilunar Granule ,2014,CA3 Lucidum-Radiatum ,CA3:SL
1001,DG Semilunar Granule ,2017,CA3 Lucidum LAX ,CA3:SL
1001,DG Semilunar Granule ,2019,CA3 Spiny Lucidum Dentate-Projecting ,CA3:SL
1001,DG Semilunar Granule ,2028,CA3 Axo-Axonic ,CA3:SL
1001,DG Semilunar Granule ,2035,CA3 Mossy Fiber-Associated ORDEN ,CA3:SL
1001,DG Semilunar Granule ,2036,CA3 Mossy Fiber-Associated ,CA3:SL
1001,DG Semilunar Granule ,2042,CA3 Interneuron Specific Quad ,DG:H; CA3:SL
1001,DG Semilunar Granule ,2043,CA3 Basket ,CA3:SL
1001,DG Semilunar Granule ,2044,CA3 Basket CCK+ ,CA3:SL
1001,DG Semilunar Granule ,2045,CA3 Bistratified ,CA3:SL
1001,DG Semilunar Granule ,2046,CA3 Ivy ,CA3:SL
1001,DG Semilunar Granule ,2049,CA3 QuadD-LM ,CA3:SL
1002,DG Mossy ,1000,DG Granule ,DG:Smi
1002,DG Mossy ,1041,DG Hilar Ectopic Granule ,DG:SMi; DG:H
1002,DG Mossy ,1001,DG Semilunar Granule ,DG:SMi
1002,DG Mossy ,1002,DG Mossy ,DG:H
1002,DG Mossy ,1043,DG Mossy MOLDEN ,DG:SMi; DG:H
1002,DG Mossy ,1027,DG AIPRIM ,DG:SMi; DG:H
1002,DG Mossy ,1010,DG Axo-Axonic ,DG:SMi; DG:H
1002,DG Mossy ,1035,DG Basket ,DG:SMi; DG:H
1002,DG Mossy ,1036,DG Basket CCK+ ,DG:SMi; DG:H
1002,DG Mossy ,1009,DG HICAP ,DG:SMi; DG:H
1002,DG Mossy ,1013,DG HIPP ,DG:H
1002,DG Mossy ,1026,DG HIPROM ,DG:SMi; DG:H
1002,DG Mossy ,1040,DG MOCAP ,DG:SMi
1002,DG Mossy ,1005,DG MOLAX ,DG:SMi; DG:H
1002,DG Mossy ,1006,DG Outer Molecular Layer ,DG:SMi; DG:H
