From (pre-synaptic type),To (post-synaptic type)
Granule,Hilar Ectopic Granule
Granule,Mossy
Granule,Mossy MOLDEN
Granule,AIPRIM
Granule,DG Axo-axonic
Granule,DG Basket
Granule,DG Basket CCK+
Granule,HICAP
Granule,HIPP
Granule,HIPROM
Granule,MOLAX
Granule,Outer Molecular Layer
Granule,Total Molecular Layer
Granule,CA3 Pyramidal
Granule,CA3c Pyramidal
Granule,CA3 Axo-axonic
Granule,CA3 Basket
Granule,CA3 Basket CCK+
Granule,CA3 Bistratified
Granule,CA3 Interneuron Specific Quad
Granule,CA3 Ivy
Granule,CA3 LMR-Targeting
Granule,Lucidum LAX
Granule,Lucidum ORAX
Granule,Lucidum-Radiatum
Granule,Spiny Lucidum
Granule,Mossy Fiber-Associated
Granule,Mossy Fiber-Associated ORDEN
Granule,CA3 QuadD-LM
Granule,CA2 Pyramidal
Granule,CA2 Basket
Granule,CA2 Wide-Arbor Basket
Granule,CA2 Bistratified
Granule,CA2 SP-SR
Hilar Ectopic Granule,Hilar Ectopic Granule
Hilar Ectopic Granule,Mossy
Hilar Ectopic Granule,Mossy MOLDEN
Hilar Ectopic Granule,AIPRIM
Hilar Ectopic Granule,DG Axo-axonic
Hilar Ectopic Granule,DG Basket
Hilar Ectopic Granule,DG Basket CCK+
Hilar Ectopic Granule,HICAP
Hilar Ectopic Granule,HIPP
Hilar Ectopic Granule,HIPROM
Hilar Ectopic Granule,MOLAX
Hilar Ectopic Granule,Outer Molecular Layer
Hilar Ectopic Granule,Total Molecular Layer
Hilar Ectopic Granule,CA3 Pyramidal
Hilar Ectopic Granule,CA3c Pyramidal
Hilar Ectopic Granule,CA3 Axo-axonic
Hilar Ectopic Granule,CA3 Basket
Hilar Ectopic Granule,CA3 Basket CCK+
Hilar Ectopic Granule,CA3 Bistratified
Hilar Ectopic Granule,CA3 Interneuron Specific Quad
Hilar Ectopic Granule,CA3 Ivy
Hilar Ectopic Granule,CA3 LMR-Targeting
Hilar Ectopic Granule,Lucidum LAX
Hilar Ectopic Granule,Lucidum ORAX
Hilar Ectopic Granule,Lucidum-Radiatum
Hilar Ectopic Granule,Spiny Lucidum
Hilar Ectopic Granule,Mossy Fiber-Associated
Hilar Ectopic Granule,Mossy Fiber-Associated ORDEN
Hilar Ectopic Granule,CA3 QuadD-LM
Semilunar Granule,Granule
Semilunar Granule,Hilar Ectopic Granule
Semilunar Granule,Semilunar Granule
Semilunar Granule,Mossy
Semilunar Granule,Mossy MOLDEN
Semilunar Granule,AIPRIM
Semilunar Granule,DG Axo-axonic
Semilunar Granule,DG Basket
Semilunar Granule,DG Basket CCK+
Semilunar Granule,HICAP
Semilunar Granule,HIPP
Semilunar Granule,HIPROM
Semilunar Granule,MOCAP
Semilunar Granule,MOLAX
Semilunar Granule,Outer Molecular Layer
Semilunar Granule,Total Molecular Layer
Semilunar Granule,CA3 Pyramidal
Semilunar Granule,CA3c Pyramidal
Semilunar Granule,CA3 Axo-axonic
Semilunar Granule,CA3 Basket
Semilunar Granule,CA3 Basket CCK+
Semilunar Granule,CA3 Bistratified
Semilunar Granule,CA3 Interneuron Specific Quad
Semilunar Granule,CA3 Ivy
Semilunar Granule,CA3 LMR-Targeting
Semilunar Granule,Lucidum LAX
Semilunar Granule,Lucidum ORAX
Semilunar Granule,Lucidum-Radiatum
Semilunar Granule,Spiny Lucidum
Semilunar Granule,Mossy Fiber-Associated
Semilunar Granule,Mossy Fiber-Associated ORDEN
Semilunar Granule,CA3 QuadD-LM
Mossy,Granule
Mossy,Hilar Ectopic Granule
