neuron,unique_id,parcel,neurite_id,total_length_avg,total_length_std,total_length_values_count
Granule,1000,DG:SMo:D,5,2258.01,148.10,3
Granule,1000,DG:SMi:D,8,1280.93,121.98,3
Granule,1000,DG:H:A,13,3329.75,628.46,3
Granule,1000,CA3:SP:A,28,805.32,143.50,3
Granule,1000,CA3:SL:A,25,1131.72,0.00,1
"Hilar Ectopic Granule",1041,DG:SMo:D,5,2256.54,0.00,1
"Hilar Ectopic Granule",1041,DG:SMi:D,8,1466.41,0.00,1
"Hilar Ectopic Granule",1041,DG:H:D,14,2475.28,0.00,1
"Hilar Ectopic Granule",1041,DG:H:A,13,1071.09,0.00,1
"Hilar Ectopic Granule",1041,CA3:SL:A,25,536.72,0.00,1
"Semilunar Granule",1001,DG:SMo:D,5,3205.67,710.69,2
"Semilunar Granule",1001,DG:SMi:D,8,1148.95,388.33,2
"Semilunar Granule",1001,DG:SMi:A,7,562.69,68.68,2
"Semilunar Granule",1001,DG:SG:A,10,954.06,407.85,2
"Semilunar Granule",1001,DG:H:A,13,4898.07,548.32,2
"Semilunar Granule",1001,CA3:SL:A,25,657.44,0.00,1
Mossy,1002,DG:SMi:A,7,2104.15,947.97,3
Mossy,1002,DG:H:D,14,4792.85,323.28,3
Mossy,1002,DG:H:A,13,5369.00,622.08,3
"Mossy MOLDEN",1043,DG:SMo:D,5,717.99,0.00,1
"Mossy MOLDEN",1043,DG:SMi:D,8,746.49,0.00,1
"Mossy MOLDEN",1043,DG:SMi:A,7,593.07,0.00,1
"Mossy MOLDEN",1043,DG:SG:D,11,675.05,0.00,1
"Mossy MOLDEN",1043,DG:H:D,14,5259.47,0.00,1
"Mossy MOLDEN",1043,DG:H:A,13,4191.86,0.00,1
AIPRIM,1027,DG:SMo:D,5,915.40,306.70,3
AIPRIM,1027,DG:SMi:D,8,689.15,139.51,3
AIPRIM,1027,DG:SMi:A,7,10238.25,807.61,3
AIPRIM,1027,DG:SG:D,11,783.01,100.71,3
AIPRIM,1027,DG:SG:A,10,2742.74,443.33,3
AIPRIM,1027,DG:H:D,14,3165.04,1183.14,3
AIPRIM,1027,DG:H:A,13,6445.22,877.70,3
"DG Axo-axonic",1010,DG:SMo:D,5,5900.20,0.00,1
"DG Axo-axonic",1010,DG:SMi:D,8,1286.83,0.00,1
"DG Axo-axonic",1010,DG:SG:D,11,807.89,0.00,1
"DG Axo-axonic",1010,DG:SG:A,10,18049.45,0.00,1
"DG Axo-axonic",1010,DG:H:D,14,1935.56,0.00,1
"DG Axo-axonic",1010,DG:H:A,13,10852.41,0.00,1
"DG Basket",1035,DG:SMo:D,5,3167.68,1969.87,2
"DG Basket",1035,DG:SMi:D,8,994.60,243.61,2
"DG Basket",1035,DG:SG:D,11,873.82,316.58,2
"DG Basket",1035,DG:SG:A,10,12050.77,4772.49,2
"DG Basket",1035,DG:H:D,14,1547.35,494.30,2
"DG Basket CCK+",1036,DG:SMo:D,5,3641.47,0.00,1
"DG Basket CCK+",1036,DG:SMi:D,8,1882.92,0.00,1
"DG Basket CCK+",1036,DG:SG:D,11,1468.92,0.00,1
"DG Basket CCK+",1036,DG:SG:A,10,15209.30,0.00,1
"DG Basket CCK+",1036,DG:H:D,14,4085.68,0.00,1
HICAP,1009,DG:SMo:D,5,1157.10,454.00,2
HICAP,1009,DG:SMi:D,8,845.83,297.50,3
HICAP,1009,DG:SMi:A,7,7552.05,389.52,3
HICAP,1009,DG:SG:D,11,652.34,175.91,3
HICAP,1009,DG:H:D,14,1358.54,191.04,3
HIPP,1013,DG:SMo:A,4,21436.79,2279.35,2
HIPP,1013,DG:H:D,14,3600.61,243.91,2
HIPROM,1026,DG:SMo:A,4,8905.29,1710.87,2
HIPROM,1026,DG:SMi:D,8,1166.67,210.80,2
HIPROM,1026,DG:SMi:A,7,5315.62,873.71,2
HIPROM,1026,DG:SG:D,11,1239.41,152.10,2
HIPROM,1026,DG:SG:A,10,4166.24,86.19,2
HIPROM,1026,DG:H:D,14,3538.75,4.34,2
HIPROM,1026,DG:H:A,13,10018.08,631.28,2
HIPROM,1026,CA3:SP:A,28,1623.95,842.29,2
HIPROM,1026,CA3:SL:A,25,2962.27,876.29,2
HIPROM,1026,CA3:SR:A,22,729.19,133.36,2
HIPROM,1026,CA3:SO:A,31,2521.52,1063.99,2
MOCAP,1040,DG:SMi:D,8,748.32,0.00,1
MOCAP,1040,DG:SMi:A,7,4989.40,0.00,1
MOCAP,1040,DG:SG:D,11,509.98,0.00,1
MOCAP,1040,DG:SG:A,10,6203.49,0.00,1
MOCAP,1040,DG:H:A,13,3245.43,0.00,1
MOLAX,1005,DG:SMo:D,5,850.16,442.74,3
MOLAX,1005,DG:SMo:A,4,10284.57,3046.99,3
MOLAX,1005,DG:SMi:D,8,1044.66,316.28,3
MOLAX,1005,DG:SMi:A,7,4145.36,1141.45,3
MOLAX,1005,DG:H:D,14,1732.17,763.10,3
MOPP,1008,DG:SMo:D,5,2265.43,1541.31,3
MOPP,1008,DG:SMo:A,4,32652.16,14272.19,3
"DG Neurogliaform",1007,DG:SMo:D,5,972.44,0.00,1
"DG Neurogliaform",1007,DG:SMo:A,4,3487.73,0.00,1
"DG Neurogliaform",1007,Sub:SM:A,67,1759.17,0.00,1
"Outer Molecular Layer",1006,DG:SMo:D,5,466.45,75.56,2
"Outer Molecular Layer",1006,DG:SMo:A,4,4978.84,681.61,2
"Outer Molecular Layer",1006,DG:SMi:D,8,451.04,48.42,2
"Outer Molecular Layer",1006,DG:SG:D,11,496.10,62.17,2
"Outer Molecular Layer",1006,DG:H:D,14,1154.65,698.78,2
"Total Molecular Layer",1004,DG:SMo:D,5,520.53,0.00,1
"Total Molecular Layer",1004,DG:SMo:A,4,10638.03,0.00,1
"Total Molecular Layer",1004,DG:SMi:D,8,514.57,0.00,1
"Total Molecular Layer",1004,DG:SMi:A,7,6547.30,0.00,1
"Total Molecular Layer",1004,DG:H:D,14,2039.24,0.00,1
"Total Molecular Layer",1004,DG:H:A,13,3951.09,0.00,1
"CA3 Pyramidal",2000,CA3:SP:D,29,510.75,26.17,2
"CA3 Pyramidal",2000,CA3:SL:D,26,700.97,54.44,2
"CA3 Pyramidal",2000,CA3:SR:D,23,3838.76,1186.38,2
"CA3 Pyramidal",2000,CA3:SR:A,22,4080.88,0.00,1
"CA3 Pyramidal",2000,CA3:SLM:D,20,3308.12,433.22,2
"CA3 Pyramidal",2000,CA3:SO:D,32,6266.02,2421.77,2
"CA3 Pyramidal",2000,CA3:SO:A,31,5649.89,0.00,1
"CA3 Pyramidal",2000,CA2:SR:A,40,547.25,0.00,1
"CA3 Pyramidal",2000,CA1:SR:A,55,2380.78,0.00,1
"CA3c Pyramidal",2004,CA3:SP:D,29,1643.91,0.00,1
"CA3c Pyramidal",2004,CA3:SL:D,26,1660.57,0.00,1
"CA3c Pyramidal",2004,CA3:SR:D,23,5394.46,0.00,1
"CA3c Pyramidal",2004,CA3:SR:A,22,2853.32,0.00,1
"CA3c Pyramidal",2004,CA3:SO:D,32,3288.71,0.00,1
"CA3c Pyramidal",2004,CA3:SO:A,31,4322.86,0.00,1
"CA3 Granule",2001,CA3:SL:A,25,3825.84,602.42,2
"CA3 Granule",2001,CA3:SR:D,23,571.47,16.24,2
"CA3 Granule",2001,CA3:SLM:D,20,2536.83,846.46,2
"CA3 Axo-axonic",2028,CA3:SP:D,29,935.78,0.00,1
"CA3 Axo-axonic",2028,CA3:SP:A,28,9800.52,0.00,1
"CA3 Axo-axonic",2028,CA3:SL:D,26,1855.63,0.00,1
"CA3 Axo-axonic",2028,CA3:SR:D,23,2010.98,0.00,1
"CA3 Axo-axonic",2028,CA3:SLM:D,20,2011.47,0.00,1
"CA3 Axo-axonic",2028,CA3:SO:D,32,2839.14,0.00,1
"CA3 Horizontal Axo-axonic",2047,CA3:SP:A,28,16257.92,1501.40,2
"CA3 Horizontal Axo-axonic",2047,CA3:SO:D,32,3368.47,927.89,2
