source_name,source_id,target_name,target_id,number_of_contacts_mean,number_of_contacts_stdev
"DG Granule (e)2201p",1000,"DG Hilar Ectopic Granule (e)2203p",1041,2.084608878305409,2.1200197867592534
"DG Granule (e)2201p",1000,"DG Mossy (e)0103",1002,2.8964611611600413,2.7463294487361987
"DG Granule (e)2201p",1000,"DG Mossy MOLDEN (e)2323",1043,3.1142104194300306,2.9148997945180772
"DG Granule (e)2201p",1000,"DG AIPRIM (i)2333",1027,2.7880933750983385,4.28828689648077
"DG Granule (e)2201p",1000,"DG Axo-Axonic (i)2233",1010,2.3263590096228324,3.6621064179865312
"DG Granule (e)2201p",1000,"DG Basket (i)2232",1035,2.1001563622741397,3.495500320074705
"DG Granule (e)2201p",1000,"DG Basket CCK+ (i)2232",1036,3.672333682059644,5.521699783913087
"DG Granule (e)2201p",1000,"DG HICAP (i)2322",1009,1.9127743694954025,2.969292757883955
"DG Granule (e)2201p",1000,"DG HIPP (i)1002",1013,2.843827988791797,3.6550088532295804
"DG Granule (e)2201p",1000,"DG HIPROM (i)1333p",1026,3.0934460601084703,4.248365853752152
"DG Granule (e)2201p",1000,"DG MOLAX (i)3302",1005,1.866712198886252,2.687325080964065
"DG Granule (e)2201p",1000,"DG Outer Molecular Layer (i)3222",1006,1.7640754956746814,2.9703560683272037
"DG Granule (e)2201p",1000,"DG Total Molecular Layer (i)3303",1004,2.2695476279738633,3.250716896775899
"DG Hilar Ectopic Granule (e)2203p",1041,"DG Hilar Ectopic Granule (e)2203p",1041,1.5612474660127702,N/A
"DG Hilar Ectopic Granule (e)2203p",1041,"DG Mossy (e)0103",1002,1.9266577590209497,0.6308950564008406
"DG Hilar Ectopic Granule (e)2203p",1041,"DG Mossy MOLDEN (e)2323",1043,2.0416583549305476,N/A
"DG Hilar Ectopic Granule (e)2203p",1041,"DG AIPRIM (i)2333",1027,2.123047802697143,3.1209870727199536
"DG Hilar Ectopic Granule (e)2203p",1041,"DG Axo-Axonic (i)2233",1010,2.0450157387586287,N/A
"DG Hilar Ectopic Granule (e)2203p",1041,"DG Basket (i)2232",1035,1.9166904017095598,0.674371066119185
"DG Hilar Ectopic Granule (e)2203p",1041,"DG Basket CCK+ (i)2232",1036,2.975206953671372,N/A
"DG Hilar Ectopic Granule (e)2203p",1041,"DG HICAP (i)2322",1009,1.6993662925859652,0.40302790494054874
"DG Hilar Ectopic Granule (e)2203p",1041,"DG HIPP (i)1002",1013,2.063285549019975,1.8461494356288095
"DG Hilar Ectopic Granule (e)2203p",1041,"DG HIPROM (i)1333p",1026,2.3766330852779562,0.8440250479530621
"DG Hilar Ectopic Granule (e)2203p",1041,"DG MOLAX (i)3302",1005,1.4908989960277303,2.038733511679343
"DG Hilar Ectopic Granule (e)2203p",1041,"DG Outer Molecular Layer (i)3222",1006,1.5734736992331573,1.7335660957643395
"DG Hilar Ectopic Granule (e)2203p",1041,"DG Total Molecular Layer (i)3303",1004,1.8831418680663514,N/A
"DG Semilunar Granule (e)2311p",1001,"DG Granule (e)2201p",1000,3.0484122539052625,3.292297811773166
"DG Semilunar Granule (e)2311p",1001,"DG Hilar Ectopic Granule (e)2203p",1041,4.900209465071687,3.1964604497880433
"DG Semilunar Granule (e)2311p",1001,"DG Semilunar Granule (e)2311p",1001,2.414211793373658,3.2376266296142906
"DG Semilunar Granule (e)2311p",1001,"DG Mossy (e)0103",1002,5.698578125071413,4.929035421004757
"DG Semilunar Granule (e)2311p",1001,"DG Mossy MOLDEN (e)2323",1043,7.006991071478217,4.783727056453064
