source_name,source_id,target_name,target_id,number_of_potential_synapses_mean,number_of_potential_synapses_stdev
"DG Granule (e)2201p",1000,"DG Hilar Ectopic Granule (e)2203p",1041,0.011624069150248485,0.0021939251396471196
"DG Granule (e)2201p",1000,"DG Mossy (e)0103",1002,0.02250753796486281,0.004511190925412101
"DG Granule (e)2201p",1000,"DG Mossy MOLDEN (e)2323",1043,0.024698798913115844,0.0046616477546862715
"DG Granule (e)2201p",1000,"DG AIPRIM (i)2333",1027,0.014863225099100891,0.006224127219160235
"DG Granule (e)2201p",1000,"DG Axo-Axonic (i)2233",1010,0.00908951039254345,0.0017155528842374911
"DG Granule (e)2201p",1000,"DG Basket (i)2232",1035,0.00726645203760261,0.0026961439611896546
"DG Granule (e)2201p",1000,"DG Basket CCK+ (i)2232",1036,0.01918660791740216,0.00362127761891723
"DG Granule (e)2201p",1000,"DG HICAP (i)2322",1009,0.006379804163680771,0.0015015767788492474
"DG Granule (e)2201p",1000,"DG HIPP (i)1002",1013,0.01690866548541193,0.0033906751671401417
"DG Granule (e)2201p",1000,"DG HIPROM (i)1333p",1026,0.016618167070026852,0.003136576526735419
"DG Granule (e)2201p",1000,"DG MOLAX (i)3302",1005,0.008134362622850243,0.003898602046079931
"DG Granule (e)2201p",1000,"DG Outer Molecular Layer (i)3222",1006,0.0054223083628253815,0.0034373967168379867
"DG Granule (e)2201p",1000,"DG Total Molecular Layer (i)3303",1004,0.009576398134333376,0.001807448006598846
"DG Hilar Ectopic Granule (e)2203p",1041,"DG Hilar Ectopic Granule (e)2203p",1041,0.00373915059388091,N/A
"DG Hilar Ectopic Granule (e)2203p",1041,"DG Mossy (e)0103",1002,0.007240069966919876,0.0004883448532885498
"DG Hilar Ectopic Granule (e)2203p",1041,"DG Mossy MOLDEN (e)2323",1043,0.007944939713486485,N/A
"DG Hilar Ectopic Granule (e)2203p",1041,"DG AIPRIM (i)2333",1027,0.004781099995013426,0.001787245125962724
"DG Hilar Ectopic Granule (e)2203p",1041,"DG Axo-Axonic (i)2233",1010,0.0029238511697634744,N/A
"DG Hilar Ectopic Granule (e)2203p",1041,"DG Basket (i)2232",1035,0.0023374223002818367,0.0007466881074283854
"DG Hilar Ectopic Granule (e)2203p",1041,"DG Basket CCK+ (i)2232",1036,0.006171816036330174,N/A
"DG Hilar Ectopic Granule (e)2203p",1041,"DG HICAP (i)2322",1009,0.00205221151209006,0.0002885785932712752
"DG Hilar Ectopic Granule (e)2203p",1041,"DG HIPP (i)1002",1013,0.005439063186419546,0.0003684572723515974
"DG Hilar Ectopic Granule (e)2203p",1041,"DG HIPROM (i)1333p",1026,0.005345617654706982,0.00000654843808557976
"DG Hilar Ectopic Granule (e)2203p",1041,"DG MOLAX (i)3302",1005,0.002616605806360243,0.0011527401231992403
"DG Hilar Ectopic Granule (e)2203p",1041,"DG Outer Molecular Layer (i)3222",1006,0.001744210850176381,0.0010555749862609894
"DG Hilar Ectopic Granule (e)2203p",1041,"DG Total Molecular Layer (i)3303",1004,0.003080469868889865,N/A
"DG Semilunar Granule (e)2311p",1001,"DG Granule (e)2201p",1000,0.0007509713316487527,0.00011625293527545605
"DG Semilunar Granule (e)2311p",1001,"DG Hilar Ectopic Granule (e)2203p",1041,0.017958764893456023,0.0019170462106711998
"DG Semilunar Granule (e)2311p",1001,"DG Semilunar Granule (e)2311p",1001,0.0006735971183605367,0.00024205580331782328
"DG Semilunar Granule (e)2311p",1001,"DG Mossy (e)0103",1002,0.033108673876958275,0.004327175641026823
"DG Semilunar Granule (e)2311p",1001,"DG Mossy MOLDEN (e)2323",1043,0.037775638542098096,0.004090250135813172
"DG Semilunar Granule (e)2311p",1001,"DG AIPRIM (i)2333",1027,0.023434731259984944,0.00854807098444574
"DG Semilunar Granule (e)2311p",1001,"DG Axo-Axonic (i)2233",1010,0.015329061298237462,0.0015854853809511133
"DG Semilunar Granule (e)2311p",1001,"DG Basket (i)2232",1035,0.012574251294548769,0.003694473013866085
"DG Semilunar Granule (e)2311p",1001,"DG Basket CCK+ (i)2232",1036,0.03151647358871197,0.003297936816519512
"DG Semilunar Granule (e)2311p",1001,"DG HICAP (i)2322",1009,0.010852730232590483,0.0017665608706685125
"DG Semilunar Granule (e)2311p",1001,"DG HIPP (i)1002",1013,0.024872711183472895,0.0032545276251049996
"DG Semilunar Granule (e)2311p",1001,"DG HIPROM (i)1333p",1026,0.026976344839674135,0.0028612431323202223
"DG Semilunar Granule (e)2311p",1001,"DG MOCAP (i)0331",1040,0.001198695616283801,0.0003292644532112256
"DG Semilunar Granule (e)2311p",1001,"DG MOLAX (i)3302",1005,0.012578135103951523,0.005442654685244846
"DG Semilunar Granule (e)2311p",1001,"DG Outer Molecular Layer (i)3222",1006,0.008979957880290988,0.004920232441735454
"DG Semilunar Granule (e)2311p",1001,"DG Total Molecular Layer (i)3303",1004,0.014388595986796265,0.0015774057870737864
"DG Mossy (e)0103",1002,"DG Granule (e)2201p",1000,0.00280824320443716,0.0012931373248432998
"DG Mossy (e)0103",1002,"DG Hilar Ectopic Granule (e)2203p",1041,0.021957955460278875,0.0026103486724418875
"DG Mossy (e)0103",1002,"DG Semilunar Granule (e)2311p",1001,0.0025189037855964233,0.0014186772049260428
"DG Mossy (e)0103",1002,"DG Mossy (e)0103",1002,0.036291964060871984,0.004865578233146723
"DG Mossy (e)0103",1002,"DG Mossy MOLDEN (e)2323",1043,0.04146180152293425,0.004672868064940869
"DG Mossy (e)0103",1002,"DG AIPRIM (i)2333",1027,0.025476851591104136,0.009408951899956065
"DG Mossy (e)0103",1002,"DG Axo-Axonic (i)2233",1010,0.017477439001646958,0.0021211218692276544
"DG Mossy (e)0103",1002,"DG Basket (i)2232",1035,0.013897202846557087,0.00413551204210701
"DG Mossy (e)0103",1002,"DG Basket CCK+ (i)2232",1036,0.03506520195481137,0.004038263601307032
"DG Mossy (e)0103",1002,"DG HICAP (i)2322",1009,0.012141383581343675,0.0021532482127280023
"DG Mossy (e)0103",1002,"DG HIPP (i)1002",1013,0.027264140621327024,0.0036592576554645858
"DG Mossy (e)0103",1002,"DG HIPROM (i)1333p",1026,0.029353482801671243,0.0033438799093987092
"DG Mossy (e)0103",1002,"DG MOCAP (i)0331",1040,0.0016405814707668007,0.0007391230201326383
"DG Mossy (e)0103",1002,"DG MOLAX (i)3302",1005,0.015406409593182424,0.006102748436079707
"DG Mossy (e)0103",1002,"DG Outer Molecular Layer (i)3222",1006,0.009731952964218662,0.005406761976673778
"DG Mossy (e)0103",1002,"DG Total Molecular Layer (i)3303",1004,0.016569447917723516,0.0018598928810398744
"DG Mossy MOLDEN (e)2323",1043,"DG Granule (e)2201p",1000,0.0007915237969039977,0.0000753745293304527
"DG Mossy MOLDEN (e)2323",1043,"DG Hilar Ectopic Granule (e)2203p",1041,0.015539826625934018,N/A
"DG Mossy MOLDEN (e)2323",1043,"DG Semilunar Granule (e)2311p",1001,0.0007099713747231286,0.0002399609939042017
"DG Mossy MOLDEN (e)2323",1043,"DG Mossy (e)0103",1002,0.028335022912670975,0.0019112056472435936
"DG Mossy MOLDEN (e)2323",1043,"DG Mossy MOLDEN (e)2323",1043,0.0315549079295806,N/A
"DG Mossy MOLDEN (e)2323",1043,"DG AIPRIM (i)2333",1027,0.01913734602480203,0.006995164148930254
"DG Mossy MOLDEN (e)2323",1043,"DG Axo-Axonic (i)2233",1010,0.012238070716898638,N/A
"DG Mossy MOLDEN (e)2323",1043,"DG Basket (i)2232",1035,0.009762421739403157,0.0029261426231782183
"DG Mossy MOLDEN (e)2323",1043,"DG Basket CCK+ (i)2232",1036,0.02531777617036732,N/A
"DG Mossy MOLDEN (e)2323",1043,"DG HICAP (i)2322",1009,0.008554280031176623,0.0011442566634660197
"DG Mossy MOLDEN (e)2323",1043,"DG HIPP (i)1002",1013,0.0212865318587837,0.0014420088897102643
"DG Mossy MOLDEN (e)2323",1043,"DG HIPROM (i)1333p",1026,0.021641740851433777,0.00013275697456735706
"DG Mossy MOLDEN (e)2323",1043,"DG MOCAP (i)0331",1040,0.0004624098343120341,N/A
"DG Mossy MOLDEN (e)2323",1043,"DG MOLAX (i)3302",1005,0.010885980968240625,0.004515640477368367
"DG Mossy MOLDEN (e)2323",1043,"DG Outer Molecular Layer (i)3222",1006,0.007104920597358698,0.004131248202303133
"DG Mossy MOLDEN (e)2323",1043,"DG Total Molecular Layer (i)3303",1004,0.012373816731805721,N/A
"DG AIPRIM (i)2333",1027,"DG Granule (e)2201p",1000,0.013664185532318872,0.0016896438901042475
"DG AIPRIM (i)2333",1027,"DG Hilar Ectopic Granule (e)2203p",1041,0.03814292957028247,0.0033031531618590644
"DG AIPRIM (i)2333",1027,"DG Semilunar Granule (e)2311p",1001,0.012256334711347851,0.004253803767836633
"DG AIPRIM (i)2333",1027,"DG Mossy (e)0103",1002,0.04356668790875774,0.00662070378250569
