neuron,unique_id,parcel,neurite_id,somatic_distance_avg,somatic_distance_std,somatic_distance_values_count,somatic_distance_min,somatic_distance_max
Granule,1000,DG:SMo:D,5,390.96,164.74,9,124.77,844.04
Granule,1000,DG:SMi:D,8,189.64,77.26,9,52.00,429.67
Granule,1000,DG:H:A,13,350.67,157.68,8,0.00,1283.90
Granule,1000,CA3:SP:A,28,705.44,320.29,5,315.51,1536.38
Granule,1000,CA3:SL:A,25,403.41,45.51,2,315.51,582.31
"Hilar Ectopic Granule",1041,DG:SMo:D,5,894.51,49.40,5,773.55,1170.90
"Hilar Ectopic Granule",1041,DG:SMi:D,8,686.39,4.24,5,572.81,814.98
"Hilar Ectopic Granule",1041,DG:H:D,14,220.54,28.86,5,0.00,505.63
"Hilar Ectopic Granule",1041,DG:H:A,13,443.39,0.00,1,0.00,886.77
"Hilar Ectopic Granule",1041,CA3:SL:A,25,927.14,0.00,1,886.77,967.50
"Semilunar Granule",1001,DG:SMo:D,5,250.57,75.69,6,102.28,450.91
"Semilunar Granule",1001,DG:SMi:D,8,78.12,27.13,6,0.00,242.00
"Semilunar Granule",1001,DG:SMi:A,7,67.64,24.61,4,0.00,193.77
"Semilunar Granule",1001,DG:SG:A,10,187.51,45.83,4,59.93,334.15
"Semilunar Granule",1001,DG:H:A,13,530.12,10.98,4,172.59,915.89
"Semilunar Granule",1001,CA3:SL:A,25,994.54,0.00,1,834.87,1154.22
Mossy,1002,DG:SMi:A,7,941.99,171.54,13,0.00,2016.39
Mossy,1002,DG:H:D,14,233.08,51.97,9,0.00,486.76
Mossy,1002,DG:H:A,13,473.28,103.01,7,0.00,1304.42
"Mossy MOLDEN",1043,DG:SMo:D,5,503.97,28.63,5,442.22,655.38
"Mossy MOLDEN",1043,DG:SMi:D,8,383.82,10.26,5,333.25,461.75
"Mossy MOLDEN",1043,DG:SMi:A,7,1179.78,40.51,2,1108.18,1332.38
"Mossy MOLDEN",1043,DG:SG:D,11,294.87,11.83,5,239.62,380.87
"Mossy MOLDEN",1043,DG:H:D,14,174.86,35.74,5,0.00,433.16
"Mossy MOLDEN",1043,DG:H:A,13,372.40,109.41,5,0.00,1060.17
AIPRIM,1027,DG:SMo:D,5,219.25,12.34,7,153.43,290.24
AIPRIM,1027,DG:SMi:D,8,146.73,8.92,6,99.84,226.63
AIPRIM,1027,DG:SMi:A,7,388.54,142.27,13,97.83,852.38
AIPRIM,1027,DG:SG:D,11,136.41,84.81,8,45.82,426.77
AIPRIM,1027,DG:SG:A,10,252.56,52.79,5,47.86,610.97
AIPRIM,1027,DG:H:D,14,127.47,52.21,6,0.00,391.77
AIPRIM,1027,DG:H:A,13,150.56,60.44,5,0.00,500.16
"DG Axo-axonic",1010,DG:SMo:D,5,222.99,9.52,5,151.90,327.21
"DG Axo-axonic",1010,DG:SMi:D,8,115.88,6.82,5,85.39,170.48
"DG Axo-axonic",1010,DG:SG:D,11,37.05,6.06,4,0.00,94.70
"DG Axo-axonic",1010,DG:SG:A,10,172.69,19.02,5,0.00,400.38
"DG Axo-axonic",1010,DG:H:D,14,66.20,18.04,4,13.79,180.92
"DG Axo-axonic",1010,DG:H:A,13,177.22,75.28,5,17.92,628.53
"DG Basket",1035,DG:SMo:D,5,192.25,67.23,6,106.95,345.32
"DG Basket",1035,DG:SMi:D,8,127.29,55.37,5,28.04,237.58
"DG Basket",1035,DG:SG:D,11,55.82,28.38,5,0.00,193.55
"DG Basket",1035,DG:SG:A,10,87.14,23.35,7,0.00,252.98
"DG Basket",1035,DG:H:D,14,87.84,7.44,3,18.15,158.20
"DG Basket CCK+",1036,DG:SMo:D,5,241.06,7.63,5,184.67,322.12
"DG Basket CCK+",1036,DG:SMi:D,8,142.10,2.87,5,99.82,192.69
"DG Basket CCK+",1036,DG:SG:D,11,93.90,9.63,5,79.77,144.16
"DG Basket CCK+",1036,DG:SG:A,10,147.05,10.12,5,21.45,298.24
"DG Basket CCK+",1036,DG:H:D,14,89.93,17.10,5,0.00,228.33
HICAP,1009,DG:SMo:D,5,355.80,96.44,4,173.52,535.87
HICAP,1009,DG:SMi:D,8,219.94,68.25,7,56.19,482.70
HICAP,1009,DG:SMi:A,7,259.91,61.49,10,75.56,644.79
HICAP,1009,DG:SG:D,11,129.78,31.88,4,0.00,368.73
HICAP,1009,DG:H:D,14,157.66,30.00,4,0.00,281.25
HIPP,1013,DG:SMo:A,4,568.34,270.64,6,157.63,1738.14
HIPP,1013,DG:H:D,14,134.55,46.67,6,0.00,415.45
HIPROM,1026,DG:SMo:A,4,811.94,170.01,2,561.39,1037.78
HIPROM,1026,DG:SMi:D,8,292.58,11.25,4,270.69,335.14
HIPROM,1026,DG:SMi:A,7,624.24,167.65,3,486.34,893.98
HIPROM,1026,DG:SG:D,11,254.71,19.84,3,182.71,337.57
HIPROM,1026,DG:SG:A,10,657.38,94.47,2,520.50,828.41
HIPROM,1026,DG:H:D,14,134.57,39.95,3,0.00,381.71
HIPROM,1026,DG:H:A,13,357.05,44.98,2,0.00,804.06
HIPROM,1026,CA3:SP:A,28,493.52,35.20,2,308.31,749.13
HIPROM,1026,CA3:SL:A,25,505.20,89.01,2,231.29,704.72
HIPROM,1026,CA3:SR:A,22,356.93,10.97,2,208.21,527.59
HIPROM,1026,CA3:SO:A,31,608.22,66.04,2,506.22,771.69
MOCAP,1040,DG:SMi:D,8,56.86,17.81,5,0.00,155.42
MOCAP,1040,DG:SMi:A,7,270.24,60.30,5,0.00,734.83
MOCAP,1040,DG:SG:D,11,135.66,27.81,2,78.14,248.80
MOCAP,1040,DG:SG:A,10,230.38,28.09,5,76.90,436.51
MOCAP,1040,DG:H:A,13,412.53,19.40,5,195.40,700.04
MOLAX,1005,DG:SMo:D,5,343.87,51.43,7,183.86,494.26
MOLAX,1005,DG:SMo:A,4,846.11,268.33,6,477.98,1436.85
MOLAX,1005,DG:SMi:D,8,195.60,50.95,4,72.81,435.17
MOLAX,1005,DG:SMi:A,7,637.06,288.02,4,85.00,1605.74
MOLAX,1005,DG:H:D,14,161.45,53.47,6,0.00,540.69
MOPP,1008,DG:SMo:D,5,23.48,14.01,5,0.00,97.04
MOPP,1008,DG:SMo:A,4,94.45,25.18,11,0.00,280.83
"DG Neurogliaform",1007,DG:SMo:D,5,13.26,2.08,5,0.00,32.20
"DG Neurogliaform",1007,DG:SMo:A,4,47.98,9.75,5,0.00,131.19
"Outer Molecular Layer",1006,DG:SMo:D,5,197.34,73.88,2,92.86,330.64
"Outer Molecular Layer",1006,DG:SMo:A,4,467.83,90.20,3,139.11,720.71
"Outer Molecular Layer",1006,DG:SMi:D,8,257.21,5.22,3,205.18,312.79
"Outer Molecular Layer",1006,DG:SG:D,11,102.95,2.27,3,0.00,211.79
"Outer Molecular Layer",1006,DG:H:D,14,125.01,30.63,2,0.00,311.25
"Total Molecular Layer",1004,DG:SMo:D,5,201.19,24.04,5,162.58,302.33
"Total Molecular Layer",1004,DG:SMo:A,4,451.82,20.97,5,398.39,565.29
"Total Molecular Layer",1004,DG:SMi:D,8,106.82,12.66,3,77.81,167.03
"Total Molecular Layer",1004,DG:SMi:A,7,286.73,27.28,5,119.40,508.61
"Total Molecular Layer",1004,DG:H:D,14,104.33,10.54,5,0.00,246.12
"Total Molecular Layer",1004,DG:H:A,13,194.84,56.57,5,0.00,462.13
"CA3 Pyramidal",2000,CA3:SP:D,29,15.66,2.75,4,0.00,39.84
"CA3 Pyramidal",2000,CA3:SL:D,26,71.33,9.63,5,21.67,139.59
