source_name,source_id,target_name,target_id,synaptic_probabilties_mean,synaptic_probabilties_stdev
"DG Granule (e)2201p",1000,"DG Hilar Ectopic Granule (e)2203p",1041,0.005576139136324598,0.005767693086678354
"DG Granule (e)2201p",1000,"DG Mossy (e)0103",1002,0.007770702492640558,0.007530742105191716
"DG Granule (e)2201p",1000,"DG Mossy MOLDEN (e)2323",1043,0.00793099874016745,0.0075728290708727344
"DG Granule (e)2201p",1000,"DG AIPRIM (i)2333",1027,0.0053309638880285615,0.008497870772059334
"DG Granule (e)2201p",1000,"DG Axo-Axonic (i)2233",1010,0.003907183007844095,0.006194657837266336
"DG Granule (e)2201p",1000,"DG Basket (i)2232",1035,0.0034599576336945548,0.0059001136028589375
"DG Granule (e)2201p",1000,"DG Basket CCK+ (i)2232",1036,0.0052246363153583,0.007917381501600939
"DG Granule (e)2201p",1000,"DG HICAP (i)2322",1009,0.003335366818703167,0.005236826145297255
"DG Granule (e)2201p",1000,"DG HIPP (i)1002",1013,0.005945741286763173,0.007734173862716552
"DG Granule (e)2201p",1000,"DG HIPROM (i)1333p",1026,0.005372056517915835,0.007447031080201909
"DG Granule (e)2201p",1000,"DG MOLAX (i)3302",1005,0.004357587970820309,0.006611715949993022
"DG Granule (e)2201p",1000,"DG Outer Molecular Layer (i)3222",1006,0.0030737394040789567,0.005530227246693807
"DG Granule (e)2201p",1000,"DG Total Molecular Layer (i)3303",1004,0.004219518469803063,0.006095943086001323
"DG Hilar Ectopic Granule (e)2203p",1041,"DG Hilar Ectopic Granule (e)2203p",1041,0.0023949762451369594,N/A
"DG Hilar Ectopic Granule (e)2203p",1041,"DG Mossy (e)0103",1002,0.0037578391559272006,0.0012563596342880503
"DG Hilar Ectopic Granule (e)2203p",1041,"DG Mossy MOLDEN (e)2323",1043,0.0038914148855021535,N/A
"DG Hilar Ectopic Granule (e)2203p",1041,"DG AIPRIM (i)2333",1027,0.0022519982776362246,0.0034159074791891976
"DG Hilar Ectopic Granule (e)2203p",1041,"DG Axo-Axonic (i)2233",1010,0.001429745069609245,N/A
"DG Hilar Ectopic Granule (e)2203p",1041,"DG Basket (i)2232",1035,0.0012195095766103226,0.0005795433490040922
"DG Hilar Ectopic Granule (e)2203p",1041,"DG Basket CCK+ (i)2232",1036,0.0020744157070197167,N/A
"DG Hilar Ectopic Granule (e)2203p",1041,"DG HICAP (i)2322",1009,0.00120763341078578,0.00033296560978659715
"DG Hilar Ectopic Granule (e)2203p",1041,"DG HIPP (i)1002",1013,0.002636117520913639,0.0023654481407091445
"DG Hilar Ectopic Granule (e)2203p",1041,"DG HIPROM (i)1333p",1026,0.002249239770253264,0.0007987880042751819
"DG Hilar Ectopic Granule (e)2203p",1041,"DG MOLAX (i)3302",1005,0.0017550523632599013,0.002521423744178057
"DG Hilar Ectopic Granule (e)2203p",1041,"DG Outer Molecular Layer (i)3222",1006,0.0011085096948404427,0.0013934162025978389
"DG Hilar Ectopic Granule (e)2203p",1041,"DG Total Molecular Layer (i)3303",1004,0.001635814019712134,N/A
"DG Semilunar Granule (e)2311p",1001,"DG Granule (e)2201p",1000,0.00024634835091175145,0.0002687764389200438
"DG Semilunar Granule (e)2311p",1001,"DG Hilar Ectopic Granule (e)2203p",1041,0.005599000285791633,0.005430481795195708
"DG Semilunar Granule (e)2311p",1001,"DG Semilunar Granule (e)2311p",1001,0.00027901326644552693,0.0003873764701238931
"DG Semilunar Granule (e)2311p",1001,"DG Mossy (e)0103",1002,0.005809988588432957,0.005082445858013848
"DG Semilunar Granule (e)2311p",1001,"DG Mossy MOLDEN (e)2323",1043,0.008756833293908972,0.024656356002553698
"DG Semilunar Granule (e)2311p",1001,"DG AIPRIM (i)2333",1027,0.005796293930381613,0.023761128809098912
"DG Semilunar Granule (e)2311p",1001,"DG Axo-Axonic (i)2233",1010,0.00420414222831389,0.017218386639317074
"DG Semilunar Granule (e)2311p",1001,"DG Basket (i)2232",1035,0.0038122269211104953,0.017099346560179318
"DG Semilunar Granule (e)2311p",1001,"DG Basket CCK+ (i)2232",1036,0.005015190391233437,0.019025305381034904
"DG Semilunar Granule (e)2311p",1001,"DG HICAP (i)2322",1009,0.00422680459806779,0.024525543304813293
"DG Semilunar Granule (e)2311p",1001,"DG HIPP (i)1002",1013,0.003701579194086757,0.006108890245135842
"DG Semilunar Granule (e)2311p",1001,"DG HIPROM (i)1333p",1026,0.007157417096701146,0.02085336721420229
"DG Semilunar Granule (e)2311p",1001,"DG MOCAP (i)0331",1040,0.0016647888496523766,0.0042854702104175415
"DG Semilunar Granule (e)2311p",1001,"DG MOLAX (i)3302",1005,0.004599437752379254,0.017807546816571
"DG Semilunar Granule (e)2311p",1001,"DG Outer Molecular Layer (i)3222",1006,0.0037899792424630485,0.01529770564417913
"DG Semilunar Granule (e)2311p",1001,"DG Total Molecular Layer (i)3303",1004,0.002667521867894984,0.00555209551919208
"DG Mossy (e)0103",1002,"DG Granule (e)2201p",1000,0.0023739060548343405,0.001847362589352906
"DG Mossy (e)0103",1002,"DG Hilar Ectopic Granule (e)2203p",1041,0.01629092308412705,0.014878640662977729
"DG Mossy (e)0103",1002,"DG Semilunar Granule (e)2311p",1001,0.0021659652974510557,0.001954532850708316
"DG Mossy (e)0103",1002,"DG Mossy (e)0103",1002,0.012170237031978282,0.006181236761080306
"DG Mossy (e)0103",1002,"DG Mossy MOLDEN (e)2323",1043,0.01743900645200369,0.015685462524661145
"DG Mossy (e)0103",1002,"DG AIPRIM (i)2333",1027,0.013780020954373029,0.016634579610787414
"DG Mossy (e)0103",1002,"DG Axo-Axonic (i)2233",1010,0.013246144131607518,0.013216934565721213
