id,source_id,target_id,reference_id,frag_id,evi_id
0,1000,1002,1001042,30088,30089
1,1000,1002,1001045,30089,30090
2,1000,1002,1001203,30092,30093
3,1000,1002,1001300,30094,30095
4,1000,1002,1001400,30108,30109
5,1000,1002,1001403,30109,30110
6,1000,1002,1001721,30118,30119
7,1000,1002,1001727,30119,30120
8,1000,1002,1001730,30120,30121
9,1000,1002,1001778,30123,30124
10,1000,1002,1001969,30140,30141
11,1000,1002,1002324,30153,30154
12,1000,1002,1002506,30163,30164
13,1000,1002,1002739,30180,30181
14,1000,1002,1002821,30183,30184
15,1000,1002,1003093,30199,30200
16,1000,1002,1003102,30200,30201
17,1000,1002,1003633,30223,30224
18,1000,1002,1004006,30261,30262
19,1000,1002,2000003,30429,30430
20,1000,1002,2000077,30562,30563
21,1000,1035,1001730,30120,30121
22,1000,1035,1001957,30138,30139
23,1000,1035,1002318,30152,30153
24,1000,1035,1003777,30259,30260
25,1000,1035,1000366,30008,30009
26,1000,1035,2000011,30438,30439
27,1000,1035,2000086,30571,30572
28,1000,1036,1005010,30286,30287
29,1000,1009,1001303,30095,30096
30,1000,1009,1001403,30109,30110
31,1000,1013,1000924,30085,30086
32,1000,1013,1001303,30095,30096
33,1000,1013,1001403,30109,30110
34,1000,1013,1002330,30155,30156
35,1000,1013,1003789,30260,30261
36,1000,1013,2000063,30538,30539
37,1000,2000,1002506,30163,30164
38,1000,2000,1003102,30200,30201
39,1000,2000,1003633,30223,30224
40,1000,2000,1004006,30261,30262
41,1000,2000,1000480,30009,30010
42,1000,2000,1000753,30081,30082
43,1000,2000,1000762,30082,30083
44,1000,2000,1001009,30086,30087
45,1000,2000,1001200,30090,30091
46,1000,2000,1001250,30093,30094
47,1000,2000,1001742,30122,30123
48,1000,2000,1001984,30141,30142
49,1000,2000,1001999,30143,30144
50,1000,2000,1003036,30191,30192
51,1000,2000,1003042,30193,30194
52,1000,2000,2000077,30562,30563
53,1000,2000,2000078,30564,30565
54,1000,2004,1001009,30086,30087
55,1000,2004,1001200,30090,30091
56,1000,2004,1003042,30193,30194
57,1000,2004,1003051,30195,30196
58,1000,2004,2000078,30564,30565
59,1000,2019,1000507,30014,30015
60,1000,2019,1000519,30015,30016
61,1000,2035,1003409,30211,30212
62,1000,2035,1003762,30253,30254
63,1000,2043,1000486,30010,30011
64,1000,2043,1000519,30015,30016
65,1000,2043,2000068,30545,30546
66,1000,2043,2000069,30550,30551
67,1000,2043,2000091,30577,30578
68,1000,2044,1000489,30011,30012
69,1000,2046,1000504,30013,30014
70,1000,2036,2000032,30462,30463
71,1000,3000,1001984,30141,30142
72,1000,3000,2000082,30567,30568
73,1001,1002,1002915,30184,30185
74,1001,1002,1002918,30185,30186
75,1002,1000,1001306,30097,30098
76,1002,1000,1001409,30112,30113
77,1002,1000,1001921,30131,30132
78,1002,1000,1001963,30139,30140
79,1002,1000,1002745,30181,30182
80,1002,1000,1003081,30198,30199
81,1002,1000,1003105,30203,30204
82,1002,1000,1002327,30154,30155
83,1002,1000,1003642,30227,30228
84,1002,1000,1004006,30261,30262
85,1002,1000,2000014,30441,30442
86,1002,1000,2000074,30558,30559
87,1002,1000,2000075,30559,30560
88,1002,1002,1001306,30097,30098
89,1002,1002,1002430,30160,30161
90,1002,1002,1003639,30225,30226
91,1002,1002,1004006,30261,30262
92,1002,1010,2000084,30569,30570
93,1002,1009,1001309,30099,30100
94,1002,1013,1001309,30099,30100
95,1010,1000,1005000,30283,30284
96,1010,1000,1005002,30284,30285
97,1010,1000,1007146,30367,30368
98,1010,1000,2000085,30570,30571
99,1010,1000,2000088,30573,30574
100,1010,1000,1007220,30420,30421
101,1010,1002,1005004,30285,30286
102,1010,1002,1007220,30420,30421
103,1035,1035,1005015,30287,30288
104,1035,1035,1005017,30288,30289
105,1035,1035,1005019,30289,30290
106,1035,1035,1005021,30290,30291
107,1035,1035,1005025,30292,30293
108,1035,1035,1005037,30299,30300
109,1035,1035,1005039,30300,30301
110,1035,1035,2000004,30430,30431
111,1035,1000,1005023,30291,30292
112,1035,1000,1005027,30293,30294
113,1035,1000,1005029,30294,30295
114,1035,1000,1005031,30296,30297
115,1035,1000,1005033,30297,30298
116,1035,1000,1005035,30298,30299
117,1035,1000,1005041,30301,30302
118,1035,1000,1005043,30302,30303
119,1035,1000,1005045,30303,30304
120,1035,1000,1005047,30304,30305
121,1035,1000,1005049,30305,30306
122,1035,1000,1005051,30306,30307
123,1035,1000,1005053,30307,30308
